	title1	title2	distance
0	Letters From Home	Letter From Home	0.9411764705882353
1	Chrono Trigger	Chono Trigger	0.9285714285714286
2	Atlantic	Atlantis	0.875
3	Imagination	Imaginacion	0.9090909090909091
4	Rockin' In Rhythm	Rockin in Rhythm	0.8823529411764706
5	Suns & Moons	Sun & Moon	0.8333333333333334
6	Live At Carnegie Hall	Live at Carnegie Hall	0.9523809523809523
7	Don't Look Back	Dont Look Back	0.9333333333333333
8	Tango Tango	Mango Tango	0.9090909090909091
9	Card Captor Sakura V.4	Card Captor Sakura V.3	0.9545454545454546
10	Best of	Best Of	0.8571428571428572
11	Best of	best of	0.8571428571428572
12	Dreams Come True	Dream Come True	0.9375
13	Shakira Greatest Hits Karaoke CD+G Superstar Sound Tracks	Avril Lavigne Greatest Hits Karaoke CD+G Superstar Sound Tracks	0.8070175438596492
14	Shakira Greatest Hits Karaoke CD+G Superstar Sound Tracks	ABBA Greatest Hits Karaoke CD+G Superstar Sound Tracks	0.8771929824561404
15	Shostakovich: Symphonies Nos. 5 & 6	Shostakovich: Symphonies 5 & 9	0.8285714285714285
16	Avril Lavigne Greatest Hits Karaoke CD+G Superstar Sound Tracks	ABBA Greatest Hits Karaoke CD+G Superstar Sound Tracks	0.8095238095238095
17	Transition	Transitions	0.9
18	City of Gold	City of God	0.9166666666666666
19	One O`Clock Jump	One O'Clock Jump	0.9375
20	String Quartet Tribute to Rem	String Quartet Tribute to Bjork	0.8275862068965517
21	Acoustic	Acoustic.	0.875
22	Working Man Blues	Worried Man Blues	0.8235294117647058
23	Life & Love	Life - Live	0.8181818181818181
24	Life & Love	Live & Love	0.9090909090909091
25	Sound of Christmas	Sounds of Christmas	0.9444444444444444
26	Love Sick, Pt. 1	Love Sick, Pt. 2	0.9375
27	Symphonies 3 & 4	Symphonies 1 & 2	0.875
28	Symphonies 3 & 4	Symphonies 25 & 40	0.8125
29	Metal Massacre 7	Metal Massacre 6	0.9375
30	Metal Massacre 7	Metal Massacre 4	0.9375
31	Metal Massacre 7	Metal Massacre 3	0.9375
32	Metal Massacre 7	Metal Massacre 2	0.9375
33	Metal Massacre 6	Metal Massacre 4	0.9375
34	Metal Massacre 6	Metal Massacre 3	0.9375
35	Metal Massacre 6	Metal Massacre 2	0.9375
36	Metal Massacre 4	Metal Massacre 3	0.9375
37	Metal Massacre 4	Metal Massacre 2	0.9375
38	Metal Massacre 3	Metal Massacre 2	0.9375
39	Other Side of Love	Other Side of Me	0.8333333333333334
40	Chicago Blues Session 14	Chicago Blues Session	0.875
41	American Don	American Song	0.8333333333333334
42	American Don	American Pop	0.8333333333333334
43	American Don	American Icon	0.8333333333333334
44	SUPPE: Overtures, Vol. 1	SUPPE: Overtures, Vol. 2	0.9583333333333334
45	SUPPE: Overtures, Vol. 1	SUPPE: Overtures, Vol. 3	0.9583333333333334
46	SUPPE: Overtures, Vol. 2	SUPPE: Overtures, Vol. 3	0.9583333333333334
47	Momento	Momente	0.8571428571428572
48	Momento	Moments	0.8571428571428572
49	When A Man Loves A Woman	When a Man Loves a Woman	0.9166666666666666
50	Canned Heat Pt.2	Canned Heat Pt. 1	0.875
51	2CD Greatest Hits	His Greatest Hits	0.8235294117647058
52	2CD Greatest Hits	30 Greatest Hits	0.8235294117647058
53	2CD Greatest Hits	The Greatest Hits	0.8235294117647058
54	There's Your Trouble Pt. 2	There's Your Trouble Pt. 1	0.9615384615384616
55	HotWire	Hot Wire	0.8571428571428572
56	Navigatore	Navigator	0.9
57	24 Grandes Exitos	Grandes Exitos	0.8235294117647058
58	24 Grandes Exitos	20 Grandes Exitos	0.9411764705882353
59	24 Grandes Exitos	Oro Grandes Exitos	0.8235294117647058
60	Palm World Voices: Vedic Path [CD, DVD, Book & Map]	Palm World Voices: Africa [CD, DVD, Book & Map]	0.8627450980392157
61	Palm World Voices: Vedic Path [CD, DVD, Book & Map]	Palm World Voices: Baaba Maal [CD, DVD, Book & Map]	0.8431372549019608
62	War Back Home	Way Back Home	0.9230769230769231
63	Collection	Collections	0.9
64	In His Time	In His Prime	0.8181818181818181
65	Moussorgsky: Pictures at an Exhibition	Mussorgsky/Ravel: Pictures at an Exhibition	0.8157894736842105
66	Moussorgsky: Pictures at an Exhibition	Mussorgsky: Pictures at an Exhibition	0.9736842105263158
67	Simple Life	Simple Love	0.8181818181818181
68	Arise [Vinyl]	Rise [Vinyl]	0.8461538461538461
69	Long Life [Vinyl]	Pop Life [Vinyl]	0.8235294117647058
70	Symphonies 1-3	Symphonies 1-6	0.9285714285714286
71	Symphonies 1-3	Symphonies 1	0.8571428571428572
72	Symphonies 1-3	Symphonien 1-4	0.8571428571428572
73	Symphonies 1-3	Symphonies 1-9	0.9285714285714286
74	Untitiled	Untitled	0.8888888888888888
75	Original	Originals	0.875
76	20 Supersucessos	20 Super Sucessos	0.875
77	Speed Of Light	Speed of Light	0.9285714285714286
78	String Quintets 3	String Quintets 2	0.9411764705882353
79	String Quintets 3	String Quintets 1	0.9411764705882353
80	Godfathers of Groove	Godfathers of Grunge	0.85
81	DJ-Kicks	DJ Kicks	0.875
82	String Quintets 2	String Quintets 1	0.9411764705882353
83	Influences	Influence	0.9
84	Collection 1985-1998	Collection 1956-1994	0.85
85	Works for Sinfonietta	Works For Sinfonietta	0.9523809523809523
86	Buxtehude: Vocal Music, Vol. 1	Buxtehude: Vocal Music, Vol. 2	0.9666666666666667
87	Mozart: Piano Concertos Nos. 23 & 24	Mozart: Piano Concertos Nos. 14, 17 & 21	0.8055555555555556
88	Wailing	Wailin	0.8571428571428572
89	Trance Global Nation 3	Trance Global Nation 4	0.9545454545454546
90	Mad About the Boy 14	Mad About the Boy 5	0.9
91	Mad About the Boy 14	Mad About the Boy 7	0.9
92	Tveitt: Piano Music, Vol. 1	Tveitt: Piano Music, Vol. 2	0.962962962962963
93	Greatest Hits 1	Greatest Hits	0.8666666666666667
94	Greatest Hits 1	Greatest Hits 3	0.9333333333333333
95	Greatest Hits 1	Greatest Hits 1&2	0.8666666666666667
96	Essentials	Essential	0.9
97	Compilation	A Compilation	0.8181818181818181
98	Greatest Hits	Greatest Hits 3	0.8461538461538461
99	Reggae Gold 2002	Reggae Gold 2005	0.9375
